Inexpert Employee,Expert Mentor,Similarity Score
616739279.0,134957923.0,1.0000000000000002
164489922.0,232653901.0,0.8240058055834582
579816546.0,825313720.0,1.0
502085478.0,505682832.0,0.8949531926977403
646356537.0,240815365.0,0.971814045377579
241923555.0,568584260.0,0.8533528530214626
553274304.0,505682832.0,0.6244042464661974
456941697.0,646823391.0,0.7799133494263345
657054393.0,733372124.0,0.30453994003844326
274393191.0,825313720.0,0.8677734677739483
401106769.0,646823391.0,0.32623130439976283
236366324.0,233924418.0,1.0
190530391.0,232653901.0,0.6541344828783004
908175568.0,240815365.0,0.2009871411325825
606546053.0,815490143.0,0.42981561604933655
601229171.0,159888978.0,0.3794683427307207
311548009.0,733372124.0,0.6350389197792161
807969105.0,478383598.0,0.24610555475439438
643154801.0,815490143.0,0.9683359793704094
844410493.0,478383598.0,0.08418126189649633
422292047.0,174316503.0,0.7891951176810219
625770567.0,159888978.0,0.6397801550645063
660228818.0,826765021.0,0.17940392653903783
572355087.0,568584260.0,0.3044356901740295
226747485.0,826765021.0,0.16276172198938493
639291894.0,233924418.0,0.25625215977807214
745927714.0,134957923.0,0.14874864974640567
139664490.0,174316503.0,0.21403423937311186
525941515.0,464144325.0,0.03516825441251839
235176311.0,464144325.0,0.5384528984229926
